gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,No,0.92,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.034,93.55,1
Male,0,No,No,61.64,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),54.594,3260.1,0
Male,0,No,Yes,20.240000000000002,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,96.552,2001.5,1
Male,0,Yes,No,59.800000000000004,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.198,5940.85,1
Male,0,Yes,Yes,31.28,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),32.832,938.65,0
Female,0,Yes,No,66.24000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.654000000000003,1423.65,0
Male,0,No,No,4.6000000000000005,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,55.458000000000006,262.3,0
Male,1,Yes,No,42.32,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.758,4564.9,0
Female,0,No,No,1.84,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.76200000000001,123.8,0
Male,0,Yes,Yes,34.04,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,63.45,2203.1,0
Female,0,No,No,30.360000000000003,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.756,826.1,0
Female,0,No,Yes,14.72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.844,360.35,0
Male,0,No,No,5.5200000000000005,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.89200000000001,469.8,1
Female,0,Yes,Yes,11.96,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.42600000000001,734.35,1
Male,0,Yes,No,43.24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),102.81600000000002,4563.0,0
Female,0,No,No,0.92,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.06,69.5,1
Male,0,Yes,Yes,35.88,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),86.4,3182.95,1
Male,1,Yes,No,57.96,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),117.18,6991.9,0
Female,0,No,No,9.200000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.358000000000004,163.2,0
Male,0,No,No,9.200000000000001,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.92,226.55,0
Female,0,No,No,16.560000000000002,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.65400000000001,1679.4,0
Male,0,No,No,0.92,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53.784,49.8,0
Male,0,Yes,No,60.720000000000006,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),61.12800000000001,3789.2,0
Male,1,No,No,63.480000000000004,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.924000000000003,1356.3,0
Male,0,No,No,2.7600000000000002,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.898,191.35,1
Female,0,No,No,62.56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.168000000000003,1441.65,0
Male,0,Yes,Yes,5.5200000000000005,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.006,113.5,0
Male,0,No,No,66.24000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.438000000000002,1434.1,0
Female,1,Yes,No,53.36,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.43200000000002,5749.8,0
Female,0,Yes,Yes,41.4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.56200000000001,4730.9,0
Male,0,Yes,Yes,62.56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,119.016,7467.5,0
Male,0,Yes,Yes,29.44,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.51400000000001,3204.65,1
Male,0,No,No,0.92,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.89200000000001,74.9,1
Male,0,No,No,8.280000000000001,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.14,597.9,0
Female,0,Yes,Yes,17.48,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,26.838000000000005,434.8,0
Male,0,Yes,Yes,55.2,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),71.118,3928.3,0
Female,0,No,No,26.68,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.21200000000002,2384.15,1
Male,0,Yes,Yes,66.24000000000001,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),123.174,8468.2,0
Male,1,Yes,No,39.56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.84400000000001,3953.15,0
Male,0,Yes,Yes,0.92,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.492,69.9,1
Female,0,Yes,Yes,13.8,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.62,1155.6,0
Male,0,No,No,2.7600000000000002,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,97.956,237.65,0
Male,0,Yes,Yes,45.080000000000005,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.784,4872.45,1
Male,0,No,No,11.040000000000001,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,96.714,1021.75,0
Male,0,No,No,0.92,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.318,80.85,1
Male,0,No,No,19.32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.14,402.85,0
Female,0,Yes,No,16.560000000000002,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,80.784,1438.05,0
Female,1,Yes,Yes,66.24000000000001,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),99.846,6440.25,1
Male,0,No,No,66.24000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.844,1414.8,0
Female,0,No,No,42.32,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.784,3548.3,0
Female,1,No,No,6.44,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.566,503.6,1
Female,0,Yes,Yes,66.24000000000001,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.47600000000001,5893.9,0
Male,0,No,No,35.88,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.492,791.15,0
Female,1,Yes,No,66.24000000000001,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),84.72600000000001,5682.25,0
Male,0,No,No,0.92,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,54.81,50.75,0
Male,0,No,Yes,66.24000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.492,1529.65,0
Male,0,Yes,No,5.5200000000000005,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.478,460.25,1
Female,0,No,Yes,40.480000000000004,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.492,868.1,0
Female,0,No,No,0.92,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.626,20.95,1
Female,0,Yes,No,16.560000000000002,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.708000000000002,370.5,0
Male,0,Yes,Yes,37.72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),73.98,2839.95,0
Female,0,Yes,Yes,44.160000000000004,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.816,1027.25,0
Female,0,Yes,Yes,66.24000000000001,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),126.9,8670.1,0
Female,0,Yes,Yes,57.04,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),76.08600000000001,4300.45,0
Female,0,Yes,Yes,0.92,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.006,19.45,0
Female,0,No,No,10.120000000000001,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.32000000000001,929.3,0
Male,0,No,No,11.040000000000001,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),88.236,858.6,1
Female,0,No,No,32.2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,93.36600000000001,3029.1,1
Male,0,No,No,15.64,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.464,1207.0,0
Male,0,Yes,Yes,31.28,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),85.266,2647.2,0
Female,0,Yes,Yes,54.28,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),97.524,5194.05,0
Female,0,Yes,Yes,37.72,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),71.82000000000001,2728.6,1
Male,0,Yes,Yes,32.2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.486,809.25,0
Female,0,Yes,Yes,66.24000000000001,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),86.61600000000001,5714.2,0
Male,1,No,No,22.080000000000002,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),59.184,1291.3,0
Female,0,Yes,No,39.56,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),70.038,2908.2,0
Female,0,No,No,9.200000000000001,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,102.438,953.45,1
Male,0,Yes,Yes,25.76,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),64.80000000000001,1682.05,0
Female,1,No,No,39.56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.47000000000001,3838.75,0
Female,0,No,No,66.24000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.87,1566.9,0
Male,0,Yes,Yes,22.080000000000002,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),60.75000000000001,1454.25,0
Male,0,Yes,No,8.280000000000001,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,75.654,564.4,0
Female,0,Yes,Yes,5.5200000000000005,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.86600000000001,273.25,0
Male,0,No,No,42.32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),33.21,1489.3,0
Male,0,No,No,52.440000000000005,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.302,1125.6,0
Female,1,Yes,No,62.56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.21600000000001,6851.65,1
Female,1,Yes,Yes,22.080000000000002,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.274,2263.45,0
Male,0,Yes,Yes,23.92,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.45,2070.6,1
Male,0,No,No,0.92,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.994,55.55,0
Male,0,Yes,Yes,66.24000000000001,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.994,7542.25,0
Female,1,Yes,No,30.360000000000003,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.048,2656.5,1
Male,0,No,No,35.88,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),53.784,1971.15,0
Male,0,No,No,8.280000000000001,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.91799999999999,724.65,0
Female,0,Yes,Yes,37.72,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),38.232,1412.4,0
Male,0,No,No,65.32000000000001,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),105.46200000000002,6687.85,0
Female,0,Yes,Yes,20.240000000000002,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),22.41,452.35,0
Male,0,Yes,Yes,66.24000000000001,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),88.884,5815.15,0
Female,1,No,No,11.96,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.598,1235.55,0
Female,0,No,No,62.56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.540000000000003,1821.8,0
Male,0,No,No,0.92,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.168000000000006,44.6,0
Female,0,Yes,No,64.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.384000000000004,1397.65,0
Female,0,Yes,No,62.56,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),62.910000000000004,3975.7,0
Male,0,Yes,Yes,34.04,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),43.416000000000004,1448.8,1
Female,0,Yes,Yes,37.72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.276,804.25,0
Male,1,No,No,3.68,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,81.378,273.4,0
Male,0,No,No,3.68,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.52600000000001,370.65,1
Male,0,No,No,66.24000000000001,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,111.94200000000001,7634.8,0
Male,0,No,Yes,21.16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.384000000000004,465.45,0
Female,0,No,No,13.8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.054000000000002,369.1,0
Male,0,No,No,11.96,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),49.194,597.0,1
Female,0,No,No,4.6000000000000005,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.14,104.3,0
Female,0,Yes,No,42.32,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,76.248,3231.05,0
Female,0,No,No,11.040000000000001,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,36.288000000000004,435.45,0
Male,0,No,No,40.480000000000004,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.060000000000002,835.5,0
Female,0,No,No,62.56,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,48.54600000000001,3085.35,0
Female,0,No,No,0.92,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.492,19.9,1
Male,0,Yes,No,27.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.384000000000004,576.65,0
Male,0,Yes,Yes,37.72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,110.808,4213.35,1
Male,0,Yes,No,12.88,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.96200000000002,1139.2,1
Female,0,Yes,No,54.28,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,102.33000000000001,5597.65,0
Female,0,No,No,51.52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.114,1080.55,0
Female,1,No,No,10.120000000000001,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.584,906.85,1
Male,0,No,No,49.68,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.64000000000001,5760.65,0
Female,0,No,No,33.120000000000005,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,60.264,1941.5,0
Male,0,No,No,14.72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.330000000000002,284.35,0
Female,0,Yes,Yes,27.6,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),87.264,2369.3,0
Male,0,No,No,42.32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),78.624,3249.4,0
Male,0,Yes,Yes,23.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,58.644,1296.8,0
Female,1,No,No,7.36,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.81,606.25,1
Female,0,Yes,Yes,52.440000000000005,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),70.41600000000001,3687.85,0
Female,1,Yes,No,66.24000000000001,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),126.09,8277.05,0
Female,1,No,No,32.2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.194,2419.0,0
Female,0,No,No,0.92,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.032000000000004,45.4,1
Male,0,Yes,No,5.5200000000000005,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.54,438.0,1
Female,0,Yes,Yes,41.4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.972,1216.6,0
Male,1,No,No,0.92,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.81600000000001,45.2,0
Female,0,No,No,66.24000000000001,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),91.47600000000001,6185.15,0
Female,0,Yes,Yes,66.24000000000001,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),60.102000000000004,3880.05,0
Male,0,No,No,8.280000000000001,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.032000000000004,418.8,1
Female,1,No,No,45.080000000000005,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),97.038,4287.2,0
Female,0,No,No,21.16,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),89.85600000000001,2032.3,0
Male,0,Yes,No,32.2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),98.82000000000001,3236.35,0
Male,0,No,No,4.6000000000000005,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,46.71,219.0,1
Male,0,Yes,Yes,11.96,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,90.774,1095.3,1
Female,0,Yes,No,41.4,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.27,2221.55,0
Male,0,Yes,No,11.040000000000001,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.08200000000001,741.4,0
Female,0,No,No,66.24000000000001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.842,1419.4,0
Female,0,Yes,Yes,0.92,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.951999999999998,19.4,0
Female,0,No,No,34.04,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),85.21200000000002,2976.95,0
Male,0,No,No,41.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.358000000000004,867.3,0
Male,0,Yes,No,8.280000000000001,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,102.438,890.6,1
Male,0,No,No,13.8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.458,1553.95,1
Female,0,No,No,0.92,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.168,94.6,1
Female,1,Yes,Yes,20.240000000000002,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.178,1961.6,0
Male,0,No,No,1.84,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.426,171.15,1
Male,1,No,No,55.2,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,77.49000000000001,4374.55,0
Female,0,No,No,23.92,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.574,1815.65,0
Female,0,No,Yes,13.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.222,270.6,0
Female,0,No,No,32.2,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),86.45400000000001,2835.9,0
Female,1,No,No,38.64,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.13000000000001,4323.45,1
Male,0,Yes,No,39.56,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,60.858000000000004,2391.15,0
Female,0,Yes,No,10.120000000000001,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,110.16000000000001,1145.35,1
