gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_level,retention_action,estimated_annual_value
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,1,0.8977756592112975,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1211.4
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.3,89.3,1,0.8950781298583873,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1071.6
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,1,0.8935951112565375,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1078.8
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.55,90.55,1,0.8935951112565375,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1086.6
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,1,0.8935951112565375,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1074.6
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,1,0.8935290388315137,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1191.0
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,279.55,1,0.8931714790020936,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1135.2
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,420.2,1,0.8912280955221528,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1202.4
Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,0.8892496352664983,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1020.0
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,196.9,1,0.8891044444330517,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1141.8
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,1,0.8886839607281797,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,893.4
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2,1,0.8886839607281797,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,890.4
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,77.15,1,0.8884128468155,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,925.8
Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,1,0.8874342660498827,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,834.6
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,1,0.8874342660498827,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,835.2
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,69.85,1,0.8874342660498827,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,838.2
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,1,0.8874342660498827,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,835.2
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,1,0.8874342660498827,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,831.0
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,1,0.8874342660498827,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,835.8
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,75.1,1,0.8874124202983058,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,901.2
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,1,0.8866164141004479,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1131.6
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,73.65,1,0.8864868063554635,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,883.8
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,1,0.8864868063554635,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,892.8
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,0.8864868063554635,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,896.4
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,1,0.8864868063554635,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,892.8
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,0,0.8863668860079371,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,865.2
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.45,85.45,1,0.8852587813402865,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1025.4
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,75.1,0,0.8851934105735838,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,901.2
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,75.3,1,0.8851934105735838,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,903.6
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.45,75.45,1,0.8851934105735838,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,905.4
Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,294.45,1,0.8847130702958318,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1260.0
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,1,0.8841299602735886,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,882.6
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,1,0.8834926759385486,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1159.2
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.25,89.25,0,0.8827242829251208,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1071.0
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,1,0.8827242829251208,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1060.2
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.1,89.1,1,0.8827242829251208,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1069.2
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,335.75,0,0.8827056027599314,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1138.2
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.4,193.6,1,0.882102095148798,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1096.8
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,69.75,1,0.881922904775903,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,837.0
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,1,0.881922904775903,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,835.8
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,94.4,1,0.8814040467339187,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1132.8
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,0.8809454434612258,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1195.8
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95,1,0.8802162030503521,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,839.4
Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,84.85,1,0.8796553499656348,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1018.2
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,1,0.8793972201339394,Critical,Offer long-term contract discount | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1229.4
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,36.45,36.45,1,0.8792960328111732,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Encourage automatic payment setup | Launch early customer engagement campaign,437.4
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,74.9,1,0.8783359719166721,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,898.8
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,74.95,1,0.8783359719166721,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,899.4
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.2,79.2,1,0.878335201708573,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,950.4
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.2,292.85,1,0.8777454794533134,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1142.4
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,0.8772536632057725,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1145.4
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,1,0.8771069024664235,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1194.0
Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,1131.2,1,0.8767687183762545,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1194.6
Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,0.8766323615343297,Critical,Offer long-term contract discount | Provide free online security trial | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1252.8
Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,0.8752245415630352,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Launch early customer engagement campaign,1090.2
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.5,84.5,1,0.8751260678922546,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1014.0
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.55,187.45,1,0.8751038415936143,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1026.6
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,514.0,1,0.8749037922805384,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1206.0
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,1,0.8742708843595759,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,894.0
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,0.8741204473865908,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Encourage automatic payment setup | Launch early customer engagement campaign,475.8
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.65,84.65,1,0.8733640011425433,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Launch early customer engagement campaign,1015.8
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.45,85.45,1,0.8733519504511453,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Launch early customer engagement campaign,1025.4
